post id,reason
1,1
2,1
4,1
6,1
8,2
9,2
12,1
15,1
16,2
18,1
19,1
20,1
24,1
26,2
27,1
32,1
33,1
37,1
38,1
40,1
44,2
45,1
47,1
48,1
49,1
50,1
51,2
53,1
54,1
56,1
57,1
58,1
61,2
63,1
64,1
66,1
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
78,1
79,1
80,1
82,1
83,1
84,1
85,1
86,1
87,1
89,1
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,1
101,1
102,1
103,1
105,1
106,1
108,1
109,1
111,1
112,1
113,1
114,1
117,1
118,1
119,1
120,1
121,1
122,1
123,1
125,1
127,1
128,1
129,1
130,1
131,1
133,1
136,1
137,1
138,1
139,1
140,1
141,1
142,1
143,1
146,1
147,1
148,1
149,1
150,1
151,1
152,1
154,1
156,1
158,1
159,1
164,1
165,1
166,1
167,1
168,1
169,1
170,1
171,1
172,1
173,1
174,1
175,1
176,1
177,1
178,1
179,1
180,1
181,1
182,1
183,1
184,1
185,1
186,1
189,1
190,1
191,1
192,1
193,1
195,1
198,1
199,1
200,1
201,1
205,1
207,1
208,1
210,1
211,1
212,1
215,1
218,1
219,2
220,1
222,2
224,1
225,1
230,1
231,1
232,1
233,1
235,1
236,1
240,1
242,1
243,1
245,1
246,1
247,1
248,1
249,1
250,1
251,1
252,1
253,1
254,1
255,1
256,1
257,1
258,1
259,1
260,1
261,1
262,1
263,1
264,1
265,1
266,1
267,1
268,1
269,1
270,1
271,1
272,1
273,1
274,1
275,1
276,1
277,1
278,1
279,1
280,1
281,1
282,1
285,2
286,2
287,1
288,2
291,1
293,1
294,1
295,1
296,1
299,2
301,1
303,2
307,1
308,2
309,1
312,1
322,2
323,2
324,2
325,2
327,1
329,1
330,2
331,1
332,2
333,2
335,1
337,1
341,1
346,1
348,1
349,1
351,1
352,1
353,1
354,1
355,1
356,1
357,1
358,2
364,1
365,1
369,1
370,1
371,1
374,1
376,1
377,1
381,2
382,1
383,1
386,1
387,2
388,2
390,1
391,1
392,1
393,1
396,1
397,1
398,1
399,1
401,2
402,2
405,1
407,1
408,1
409,1
412,1
414,1
416,1
420,1
421,1
422,1
425,1
426,2
432,1
433,1
434,1
435,1
436,1
437,1
438,1
441,1
442,1
443,2
444,1
445,1
455,1
457,1
458,1
459,1
461,1
462,1
465,1
466,1
469,1
470,1
471,1
473,1
474,1
475,1
476,1
477,2
479,1
481,1
482,1
483,1
484,1
485,1
486,1
489,1
490,1
491,1
492,1
493,1
494,1
497,1
498,1
499,1
501,1
506,2
508,2
509,2
510,2
512,1
513,2
514,2
515,1
518,1
519,1
523,2
527,1
528,2
534,1
535,1
536,1
537,1
538,1
539,1
540,1
541,1
542,1
544,2
547,1
552,1
554,1
566,2
567,1
568,2
569,1
570,1
571,1
573,1
575,1
578,2
580,2
586,1
587,2
591,2
593,1
594,1
595,1
596,1
598,2
600,1
601,2
617,2
629,2
636,1
651,2
667,2
670,2
677,1
679,2
680,1
685,1
691,1
692,1
693,1
694,1
695,1
696,1
700,1
701,1
705,1
706,1
707,1
708,1
710,1
711,1
712,1
713,1
714,1
715,1
716,1
717,1
718,1
719,1
720,1
721,1
722,1
723,1
726,2
727,1
728,1
729,1
730,1
731,1
732,1
733,1
734,1
735,1
736,1
737,1
738,1
739,1
740,1
741,1
742,1
743,1
744,1
745,1
746,1
747,1
748,1
749,1
751,1
752,1
753,1
754,1
755,1
756,1
757,1
758,1
759,1
760,1
761,1
762,1
763,1
764,1
765,1
766,1
767,1
769,1
770,1
771,1
772,1
773,1
774,1
775,1
776,1
777,1
778,1
779,1
780,1
781,1
782,1
783,1
784,1
785,1
786,1
787,1
788,1
789,1
790,1
791,1
792,1
793,1
794,1
795,1
796,1
797,1
798,1
799,1
800,1
801,1
802,1
803,1
804,1
805,1
807,1
808,1
809,1
810,1
811,1
814,1
815,1
816,1
817,1
818,1
819,1
820,1
821,1
822,1
823,1
824,1
825,1
826,1
827,1
829,1
830,1
831,1
832,1
833,1
834,1
835,1
836,1
837,1
838,1
839,1
840,1
841,1
842,1
843,1
844,1
845,1
846,1
847,1
848,1
849,1
850,1
851,1
852,1
853,1
854,1
855,1
856,1
857,1
858,1
860,1
862,1
867,1
868,1
869,1
870,1
871,1
873,1
874,1
875,1
876,1
877,1
878,1
879,1
880,1
881,1
882,1
884,1
885,1
886,1
887,1
888,1
889,1
890,1
894,1
900,1
901,1
902,1
903,1
904,1
906,1
907,1
908,1
909,1
910,1
911,1
912,1
913,1
914,1
915,1
916,1
917,1
918,1
919,1
920,1
921,1
922,1
924,2
926,1
927,1
928,1
929,1
930,1
931,1
932,1
933,1
934,1
935,1
936,1
937,1
938,1
939,1
940,1
941,1
942,1
943,1
944,1
945,1
946,1
947,1
